Listing_id,negative,positive,Total,Positive Ratio,Negative Ratio
38585,34,804,838,0.96,0.04
80905,27,317,344,0.92,0.08
108061,64,481,545,0.88,0.12
155305,115,702,817,0.86,0.14
156805,18,182,200,0.91,0.09
156926,107,766,873,0.88,0.12
160594,24,327,351,0.93,0.07
189916,32,708,740,0.96,0.04
209068,14,317,331,0.96,0.04
213006,51,820,871,0.94,0.06
246315,30,239,269,0.89,0.11
259576,169,2689,2858,0.94,0.06
295496,19,179,198,0.90,0.10
304379,13,121,134,0.90,0.10
353092,130,2219,2349,0.94,0.06
427497,10,171,181,0.94,0.06
433646,19,439,458,0.96,0.04
483384,86,1802,1888,0.95,0.05
495111,63,1353,1416,0.96,0.04
539020,82,992,1074,0.92,0.08
563189,52,712,764,0.93,0.07
612660,29,388,417,0.93,0.07
621243,11,204,215,0.95,0.05
634319,11,191,202,0.95,0.05
653777,30,465,495,0.94,0.06
660702,86,890,976,0.91,0.09
674894,44,624,668,0.93,0.07
677692,18,73,91,0.80,0.20
695196,256,3061,3317,0.92,0.08
720609,17,196,213,0.92,0.08
723349,,20,20,1.00,0.00
723410,3,18,21,0.86,0.14
751963,21,382,403,0.95,0.05
840696,91,1995,2086,0.96,0.04
846221,44,340,384,0.89,0.11
875735,43,276,319,0.87,0.13
881707,180,2083,2263,0.92,0.08
942934,109,2147,2256,0.95,0.05
943832,45,430,475,0.91,0.09
971003,58,844,902,0.94,0.06
976034,100,1172,1272,0.92,0.08
977054,34,606,640,0.95,0.05
990426,18,224,242,0.93,0.07
992821,21,231,252,0.92,0.08
1039028,35,749,784,0.96,0.04
1066156,138,2747,2885,0.95,0.05
1127777,56,1215,1271,0.96,0.04
1151149,30,483,513,0.94,0.06
1198090,17,312,329,0.95,0.05
1202777,,14,14,1.00,0.00
1212352,103,1045,1148,0.91,0.09
1219374,28,861,889,0.97,0.03
1223655,19,164,183,0.90,0.10
1223683,40,270,310,0.87,0.13
1235531,3,69,72,0.96,0.04
1297717,62,399,461,0.87,0.13
1312301,28,447,475,0.94,0.06
1325364,78,1632,1710,0.95,0.05
1332684,237,1766,2003,0.88,0.12
1373040,65,1091,1156,0.94,0.06
